"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-05-08T05:00:00.000Z","12,231.68","12,264.99","12,178.26","12,256.92","0.18","0.04","4,216,360,000"
"2023-05-09T05:00:00.000Z","12,195.78","12,216.13","12,174.06","12,179.55","-0.63","-0.76","4,126,780,000"
"2023-05-10T05:00:00.000Z","12,286.66","12,337.69","12,180.86","12,306.44","1.04","0.91","4,948,260,000"
"2023-05-11T05:00:00.000Z","12,321.26","12,347.38","12,255.44","12,328.51","0.18","0.05","4,489,490,000"
"2023-05-12T05:00:00.000Z","12,350.52","12,364.65","12,209.58","12,284.74","-0.36","-0.49","4,170,000,000"
"2023-05-15T05:00:00.000Z","12,301.17","12,376.40","12,263.35","12,365.21","0.66","0.52","3,979,290,000"
"2023-05-16T05:00:00.000Z","12,327.05","12,403.81","12,324.52","12,343.05","-0.18","-0.31","4,067,510,000"
"2023-05-17T05:00:00.000Z","12,388.58","12,514.07","12,335.02","12,500.57","1.28","1.15","4,501,820,000"
"2023-05-18T05:00:00.000Z","12,513.87","12,698.50","12,512.26","12,688.84","1.51","1.37","4,532,890,000"
"2023-05-19T05:00:00.000Z","12,709.46","12,731.73","12,624.06","12,657.90","-0.24","-0.37","3,935,780,000"
"2023-05-22T05:00:00.000Z","12,664.44","12,756.23","12,655.26","12,720.78","0.50","0.37","4,278,920,000"
"2023-05-23T05:00:00.000Z","12,652.88","12,709.74","12,554.43","12,560.25","-1.26","-1.39","4,347,440,000"
"2023-05-24T05:00:00.000Z","12,481.89","12,529.63","12,415.85","12,484.16","-0.61","-0.74","4,088,270,000"
"2023-05-25T05:00:00.000Z","12,706.44","12,736.92","12,604.89","12,698.09","1.71","1.58","4,651,640,000"
"2023-05-26T05:00:00.000Z","12,736.42","13,001.91","12,729.74","12,975.69","2.19","2.06","4,434,070,000"
"2023-05-30T05:00:00.000Z","13,109.10","13,154.29","12,968.12","13,017.43","0.32","0.19","4,843,470,000"
"2023-05-31T05:00:00.000Z","12,968.38","13,029.08","12,889.37","12,935.29","-0.63","-0.76","5,905,760,000"
"2023-06-01T05:00:00.000Z","12,944.46","13,141.83","12,903.63","13,100.98","1.28","1.15","4,610,310,000"
